dt,CV_dG_1,CV_dG_2,CV_dG_3,CV_dG_4,CV_dG_5,CV_dG_6,CV_dG_7,CVerr_dG_1,CVerr_dG_2,CVerr_dG_3,CVerr_dG_4,CVerr_dG_5,CVerr_dG_6,CVerr_dG_7,absCVerr_dG_1,absCVerr_dG_2,absCVerr_dG_3,absCVerr_dG_4,absCVerr_dG_5,absCVerr_dG_6,absCVerr_dG_7
0.00125,1.2713082377215,1.27141784065329,1.2720784532919,1.27454893936762,1.2758313695538,1.28415306576065,1.30085582004319,-0.000181596790638458,-9.53997339386986e-05,0.000424138057041974,0.0023670480218217,0.00337561326424683,0.00992019841413219,0.0230560537641348,0.000181596790638458,9.53997339386986e-05,0.000424138057041974,0.0023670480218217,0.00337561326424683,0.00992019841413219,0.0230560537641348
0.0025,1.27033481376602,1.27044046928191,1.27110438363434,1.27356011100746,1.27485254436918,1.28316749610623,1.29985407377113,-0.000947144559409493,-0.000864051941862764,-0.00034191752314139,0.00158938548273406,0.00260581770713774,0.00914509867915929,0.0222682319531568,0.000947144559409493,0.000864051941862764,0.00034191752314139,0.00158938548273406,0.00260581770713774,0.00914509867915929,0.0222682319531568
0.005,1.26852392984529,1.26864086269216,1.26930225313329,1.27172924927532,1.27304914582666,1.28131884734525,1.29800678004775,-0.00237131142649919,-0.00227934976939301,-0.00175920027682128,0.000149507096670566,0.00118753770420427,0.00769123171168379,0.0208154306529133,0.00237131142649919,0.00227934976939301,0.00175920027682128,0.000149507096670566,0.00118753770420427,0.00769123171168379,0.0208154306529133
0.01,1.26480789151874,1.26492260329575,1.26558238154798,1.26806027784416,1.26932820866331,1.27764294946026,1.29418539660421,-0.00529378403831411,-0.00520356913816907,-0.00468468754907765,-0.00273594982784233,-0.00173878759025944,0.00480032748823487,0.0178101095362846,0.00529378403831411,0.00520356913816907,0.00468468754907765,0.00273594982784233,0.00173878759025944,0.00480032748823487,0.0178101095362846
0.02,1.259341756705,1.2594612545929,1.260137010202,1.26255827530591,1.26384366112553,1.2720262993056,1.28798281130314,-0.00959261733385217,-0.00949863840417272,-0.00896719144740804,-0.00706299124000432,-0.00605210154421891,0.000383121634932037,0.0129320958905923,0.00959261733385217,0.00949863840417272,0.00896719144740804,0.00706299124000432,0.00605210154421891,0.000383121634932037,0.0129320958905923
0.04,1.25179205843626,1.25198851358666,1.25261949500664,1.25501299712122,1.25633823576098,1.26439493034334,1.28086753135351,-0.0155300658957263,-0.0153755640456274,-0.0148793296808527,-0.0129969636335977,-0.0119547317488658,-0.00561855671793018,0.00733629494590391,0.0155300658957263,0.0153755640456274,0.0148793296808527,0.0129969636335977,0.0119547317488658,0.00561855671793018,0.00733629494590391
0.08,1.23174263740262,1.23188020403545,1.2324518708852,1.23545269629283,1.23612658056285,1.24426728269397,1.26098715337864,-0.0312979021515933,-0.0311897130853346,-0.0307401265728541,-0.028380132058271,-0.0278501568132322,-0.0214479141751108,-0.00829859765705521,0.0312979021515933,0.0311897130853346,0.0307401265728541,0.028380132058271,0.0278501568132322,0.0214479141751108,0.00829859765705521
0.16,1.20010154849373,1.20029944270778,1.20092231397675,1.20319938518746,1.20438015783713,1.21139863105042,1.22665082731566,-0.0561819877336913,-0.0560263541342032,-0.0555364979851877,-0.0537456988427524,-0.0528170820131615,-0.0472974145769893,-0.0353023483429511,0.0561819877336913,0.0560263541342032,0.0555364979851877,0.0537456988427524,0.0528170820131615,0.0472974145769893,0.0353023483429511
