p,mud,sigmad
0,1.86805494462682,0.125814066854085
10,1.75626333641144,0.123098282863282
20,1.62053437933649,0.185371920687592
30,1.52943488654702,0.166225910174993
40,1.3478648698442,0.165838272678162
50,1.15708457773917,0.158759646113077
60,0.947906693698083,0.244149209732581
70,0.34980990555493,0.423640004939547
80,0,0
90,0,0
100,0,0
