p,mut,sigmat
0,0.218049728471874,0.0170521450646512
10,0.197279669954902,0.0173522304455613
20,0.175319937809507,0.0234401180652682
30,0.157795302092022,0.0182526131702053
40,0.132213771675657,0.0194461221137011
50,0.112846525591046,0.0139773174036879
60,0.0937138802660927,0.0190456860091292
70,0.0359867160314,0.0414252506687006
80,0.00556381342741465,0.0192795955869071
90,0,0
100,0,0
