p,mul,sigmal
0,1.90144876335187,0.130935413082197
10,1.82537212010222,0.127418696034742
20,1.73305795033137,0.212143298173419
30,1.7255344504029,0.18232126958438
40,1.63812262172104,0.204327698402591
50,1.58296886638146,0.20731005874412
60,1.54414498972789,0.193048272643761
70,1.49670621840685,0.227813438032466
80,1.32512791773825,0.215920428621906
90,1.2093382450303,0.219109777754033
100,1.09596476943212,0.00150329218070243
